sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p05__gam_0p07__rep_005__20260601_174108_288021,5,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.2691351548832952,1.0717871219388613,-0.3594923288436759,0.3041469905416009,0.794852300600404,-0.12004835205164911,-0.17062525840507975,-0.3865810663243344,-0.19838466251910628,0.20382417927527338
sim__lam_m0p05__gam_0p07__rep_006__20260601_174125_931091,6,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.8596973079094749,0.22137435019751942,3.8416615014754725,-2.090740990214543,-3.0503225501280755,1.1719166341072977,1.0406287760277535,-2.311099877297432,0.6380552795393695,0.9965077586178356
sim__lam_m0p05__gam_0p07__rep_007__20260601_174141_196783,7,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-1.800919005639468,-1.663852499477683,0.03439818782621758,0.883117831546852,-0.19078695941484966,0.4174239462313703,-1.2972017966297513,-1.7129705005442495,-0.5964115712892423,1.3567134195587662
sim__lam_m0p05__gam_0p07__rep_008__20260601_174156_514958,8,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-4.275348180003125,4.103284703041025,-4.173090770221516,1.5686872075165992,-1.0739799450982264,0.7920138653384268,2.2557345672319875,0.1439390072726656,0.08638246593633542,0.03555522375049453
sim__lam_m0p05__gam_0p07__rep_009__20260601_174213_582878,9,hexagonal_2000_1.dat,I_2000,-0.05,0.07,2.508304912184347,-0.6319357668135895,3.056517407597849,1.3652287842710753,2.3696845812072618,-0.4875689832309786,0.38297195794977557,0.28451142310920147,0.0909869838123954,0.22557105089750004
sim__lam_m0p05__gam_0p07__rep_010__20260601_174229_337042,10,hexagonal_2000_1.dat,I_2000,-0.05,0.07,0.7854808627422227,-0.05921536358470439,-2.3968217688570648,0.9223527882876884,0.29081447465225774,-1.4757087800583755,1.233309052960635,3.1111269083085356,-0.34684414554243465,0.7324130674624313
sim__lam_m0p05__gam_0p07__rep_011__20260601_174245_060808,11,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.09059406457453655,4.460765120068882,6.523242900445844,-1.920112679633367,-2.278591365196919,2.0772781606238975,0.1420907475400271,-0.7727633511890079,0.8055125994987645,0.4990567974746152
sim__lam_m0p05__gam_0p07__rep_012__20260601_174301_792105,12,hexagonal_2000_1.dat,I_2000,-0.05,0.07,1.827080381617541,-1.1741192807855307,1.6882918045970374,1.6166035189139873,-0.1413713459136885,-1.2884212388322958,0.805642251030878,-1.9980197059627638,0.3724393516535802,-0.3718918059874435
sim__lam_m0p05__gam_0p07__rep_013__20260601_174317_392030,13,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-2.3639308390172853,-3.782261730063277,-0.267362654183817,-1.8362144786374663,0.8757463045129008,-0.5162374513212683,-0.4697797384409415,1.9550234818750554,0.10710760839331074,-0.6012960791989513
sim__lam_m0p05__gam_0p07__rep_014__20260601_174333_515711,14,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-1.510212756756709,0.27589549308847994,-1.5312185166320706,-0.9281172414755187,1.878165130774684,0.5779719235678871,-1.957157921178083,-0.7604569679165605,-0.4788489265642032,-0.5891387077235638
