sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,area_mean,area_std,area_cv,area_q10,area_q50,area_q90,area_skew,perimeter_mean,perimeter_std,perimeter_cv,perimeter_q10,perimeter_q50,perimeter_q90,perimeter_skew,shape_mean,shape_std,shape_q10,shape_q50,shape_q90,elongation_mean,elongation_std,elongation_q10,elongation_q50,elongation_q90,neighbors_mean,neighbors_std,center_x_std,center_y_std,xy_corr,frac_neighbors_4,frac_neighbors_5,frac_neighbors_6,frac_neighbors_7,frac_neighbors_8
sim__lam_m0p05__gam_0p07__rep_019__20260601_175255_675686,19,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6484647551020408,0.27100547856308244,0.41791859377156093,0.405419,0.542497,1.112695,1.216709678314332,2.9802931453428623,0.5510377630072254,0.18489381283452483,2.450990332299967,2.7766700463112066,3.9067428483558944,1.0009157634325747,3.781652378360672,0.06765890423496221,3.696449440750998,3.768523837691741,3.860626245189196,1.2515091684629809,0.1402866545990662,1.0894234111600496,1.2153992316997506,1.4521166507291499,6.0,0.8630747123996123,3.1355786902181095,3.200811124325126,0.02358011643554081,0.015306122448979591,0.27040816326530615,0.46938775510204084,0.18877551020408162,0.05612244897959184
sim__lam_m0p05__gam_0p07__rep_020__20260601_175311_076104,20,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6621551530612246,0.30209404091437586,0.456228482882451,0.388102,0.5189269999999999,1.160075,0.9659703275135685,2.997257685100704,0.6147924277280344,0.20511830890748822,2.3906420470651666,2.719809786524299,3.980006192125118,0.785682577443025,3.7842007348797577,0.07842832969308752,3.69320629788554,3.7749684932987475,3.8682342547465858,1.2560662067674304,0.15425219812988572,1.0749410244919424,1.2381661468456182,1.4650944679500104,6.020408163265306,0.9791665743587882,3.185737992832993,3.1463376530943497,-0.05138815096426518,0.015306122448979591,0.3010204081632653,0.4387755102040816,0.15306122448979592,0.07653061224489796
sim__lam_m0p05__gam_0p07__rep_021__20260601_175328_269217,21,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6430124081632653,0.2892091744082909,0.4497723072466884,0.3914005,0.5199615,1.16288,1.1189674047316849,2.959108196648774,0.5846308289787648,0.19756994003824152,2.425811379924661,2.7103597610086654,4.001926751042452,0.9485037145272245,3.786225466062071,0.08192782494870207,3.6921303287272345,3.770545927892421,3.871355547098256,1.256634882630146,0.16000121922306607,1.089562727597659,1.2256308399018776,1.4324508254178476,5.989795918367347,0.9635700832266759,3.122381415235176,3.167068502650413,-0.048024911972632076,0.015306122448979591,0.32653061224489793,0.3877551020408163,0.21428571428571427,0.03571428571428571
sim__lam_m0p05__gam_0p07__rep_022__20260601_175343_426900,22,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6508341989795918,0.2962712252839641,0.4552176664164494,0.38515,0.520724,1.1107049999999998,1.0145474260777092,2.9744827851495605,0.6052316856102057,0.20347459687166097,2.3842345883721996,2.7339020004722796,3.94529309830616,0.7756126551023317,3.7887817429207775,0.08530447569534975,3.693888792882228,3.7662570409734872,3.90830191900249,1.2587592728823718,0.16903984855575768,1.0703446565257586,1.2301680491648492,1.5158831263640864,6.01530612244898,0.9714130293731833,3.0557890428112713,3.2116077586167133,0.035797985990603944,0.03571428571428571,0.2602040816326531,0.4489795918367347,0.1683673469387755,0.08163265306122448
sim__lam_m0p05__gam_0p07__rep_023__20260601_175358_972393,23,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6328446989795918,0.28177453231468486,0.44525067961946596,0.3953745,0.516823,1.0858150000000002,1.3533556856443922,2.9380472816106358,0.5641283888521879,0.1920079341074256,2.4204775565082124,2.7271864700683475,3.850232035979608,1.1266547845777213,3.7837724653927087,0.07590252842615247,3.6867885689235402,3.7676752664449555,3.877901827572845,1.2590278831452468,0.16218081807134135,1.0805136115529654,1.2324001126938537,1.495833386654092,6.0,0.8978432207126096,3.0678139462100122,3.181522540545735,-0.006837022053916295,0.015306122448979591,0.29591836734693877,0.413265306122449,0.23469387755102042,0.030612244897959183
sim__lam_m0p05__gam_0p07__rep_024__20260601_175414_424992,24,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.692611719387755,0.3155957056725211,0.45566036039794594,0.3932505,0.5552945,1.18566,0.7664214997424798,3.067826334691887,0.6404145308756068,0.2087518852137754,2.418840614382725,2.8005561258975193,4.046439320283838,0.6127886794185592,3.790811068711627,0.08242209241752306,3.691228917724424,3.77331605028572,3.8946598489168442,1.2812259187694306,0.1894690362139647,1.0661853754894577,1.2442598076188451,1.5713810259812706,6.010204081632653,0.9146751175119969,3.2534078220037355,3.27974651309482,-0.019542046762882046,0.00510204081632653,0.32142857142857145,0.4030612244897959,0.20408163265306123,0.061224489795918366
sim__lam_m0p05__gam_0p07__rep_025__20260601_175430_261029,25,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6205338571428571,0.2618575020919716,0.4219874533473936,0.38538799999999995,0.5119035000000001,1.02755,1.159114248472468,2.9063457336244993,0.5412663489547384,0.18623604985892014,2.395124861105441,2.6735647395327735,3.762535834443823,0.9573999348879566,3.773432089698366,0.06977094549493451,3.689970205393621,3.7554229669717207,3.863160839556642,1.2257663129610612,0.136505986307915,1.0751913465565202,1.203764427012589,1.413176120190514,6.005102040816326,0.8600987661581985,3.1215152132242405,3.0477375299252762,0.01244299357057768,0.01020408163265306,0.28061224489795916,0.45918367346938777,0.19387755102040816,0.05612244897959184
sim__lam_m0p05__gam_0p07__rep_026__20260601_175447_392689,26,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6217002908163265,0.25490948971278965,0.4100198978155045,0.3925885,0.5149235000000001,1.027955,1.3090683193561625,2.928003704007684,0.5237651764643974,0.17888132304864185,2.4365865218182323,2.7218138313849813,3.7822422158492857,1.0454418568357962,3.7916839227798924,0.07648308130741309,3.7011048203105075,3.774131186505354,3.8852516996121738,1.301702152019006,0.18223787485795054,1.1002438191281914,1.2704089697816308,1.5545337328026276,6.020408163265306,0.9145043470370645,3.0006335924629646,3.113525332808614,-0.008174101371543218,0.00510204081632653,0.29591836734693877,0.44387755102040816,0.20408163265306123,0.03571428571428571
sim__lam_m0p05__gam_0p07__rep_027__20260601_175502_851280,27,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6212354387755102,0.27431077999850667,0.44155687663077786,0.3857435,0.5018425,1.12977,1.2293549298145958,2.919258621423471,0.5697047300313918,0.1951539085473012,2.391550045151134,2.691313343505331,3.976737116925532,1.032949097046961,3.792887454811225,0.07435636425601917,3.703213220727671,3.7909511150039323,3.8787669521451438,1.2732614664208828,0.16269710040696944,1.0873512129988185,1.2513099743312206,1.4873308171822472,5.974489795918367,0.9391497701177396,3.0619581103675833,3.126903079890255,0.05856223159408138,0.00510204081632653,0.34183673469387754,0.4030612244897959,0.19387755102040816,0.03571428571428571
sim__lam_m0p05__gam_0p07__rep_028__20260601_175520_140564,28,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.664921969387755,0.29135675268782596,0.4381818711083684,0.3860485,0.5460895,1.1598700000000002,0.9015621738173308,3.013664770538297,0.595850104874268,0.19771611982166162,2.4019437710188125,2.7744488807851355,3.9988518571366978,0.6810612771373826,3.792172126333513,0.0844956885235361,3.69805146111214,3.7672135497383463,3.8990529363082795,1.2971444988058056,0.16643583863816588,1.1118030328894544,1.2598250056330855,1.5459637607261005,6.0,0.9035079029052513,3.2147298758549407,3.216131968087802,0.007301139318867388,0.02040816326530612,0.29081632653061223,0.413265306122449,0.2193877551020408,0.05612244897959184
