sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,silhouette
sim__lam_m0p05__gam_0p07__rep_006__20260601_175725_951256,6,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,0.03394605372772752
sim__lam_m0p05__gam_0p07__rep_007__20260601_175742_913960,7,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.023736189878006596
sim__lam_m0p05__gam_0p07__rep_008__20260601_175758_279337,8,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.04738105884313415
sim__lam_m0p05__gam_0p07__rep_009__20260601_175814_929604,9,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.006749023498757051
sim__lam_m0p05__gam_0p07__rep_010__20260601_175830_241258,10,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.005992370761677796
sim__lam_m0p05__gam_0p07__rep_011__20260601_175845_623976,11,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.04253121410736346
sim__lam_m0p05__gam_0p07__rep_012__20260601_175902_229339,12,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.03514534930637027
sim__lam_m0p05__gam_0p07__rep_013__20260601_175917_507375,13,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.03017294792069288
sim__lam_m0p05__gam_0p07__rep_014__20260601_175932_724612,14,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.00562820854072677
sim__lam_m0p05__gam_0p07__rep_015__20260601_175949_215047,15,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.016775943458335545
sim__lam_m0p05__gam_0p07__rep_016__20260601_180005_181814,16,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,0.011660848655016473
sim__lam_m0p05__gam_0p07__rep_017__20260601_180020_473817,17,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,0.010974542399838933
sim__lam_m0p05__gam_0p07__rep_018__20260601_180036_445064,18,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,0.04085002049071908
sim__lam_m0p05__gam_0p07__rep_019__20260601_180052_473965,19,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.04554926565198052
sim__lam_m0p05__gam_0p07__rep_020__20260601_180107_712252,20,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.07641078923126932
sim__lam_m0p05__gam_0p07__rep_021__20260601_180123_462911,21,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,0.024699086674991676
sim__lam_m0p05__gam_0p07__rep_022__20260601_180140_040417,22,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.028776297963804983
sim__lam_m0p05__gam_0p07__rep_023__20260601_180155_221079,23,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.03617532761787159
sim__lam_m0p05__gam_0p07__rep_024__20260601_180210_805399,24,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.017093699574927266
sim__lam_m0p05__gam_0p07__rep_025__20260601_180226_148231,25,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.00866546921088246
sim__lam_m0p05__gam_0p07__rep_026__20260601_180243_510641,26,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.051411879106728196
sim__lam_m0p05__gam_0p07__rep_027__20260601_180258_779002,27,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.01293184225140004
sim__lam_m0p05__gam_0p07__rep_028__20260601_180314_167826,28,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,0.019823470014465522
sim__lam_m0p05__gam_0p07__rep_029__20260601_180330_008471,29,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.06464067890692157
