lambda_cc,gamma,grupo,feature,n,mean,std,cv_abs,ci95_low,ci95_high,std_escalada
-0.1,0.08,"lambda=-0.1, gamma=0.08",elongation_q10,30,1.0861570473354982,0.010913778779507204,0.010048066995726168,1.0822516017563955,1.090062492914601,0.5066521198647804
-0.1,0.08,"lambda=-0.1, gamma=0.08",elongation_q50,30,1.236013112950034,0.017802760816013966,0.014403375360252869,1.2296424768092982,1.2423837490907699,0.3235560576580348
-0.1,0.08,"lambda=-0.1, gamma=0.08",elongation_q90,30,1.490890048341787,0.034345663349994615,0.023037019656945795,1.4785996105565304,1.5031804861270437,0.32300173374243324
-0.1,0.08,"lambda=-0.1, gamma=0.08",neighbors_mean,30,6.006972789115646,0.011794080166381907,0.0019633983006802076,6.002752331730907,6.011193246500385,0.8501084893352759
-0.1,0.08,"lambda=-0.1, gamma=0.08",neighbors_std,30,0.9078502980879886,0.04531837994084247,0.04991834010110137,0.891633324098705,0.9240672720772721,0.47885788321006484
-0.1,0.08,"lambda=-0.1, gamma=0.08",center_x_std,30,3.1259402018889033,0.05643139456927968,0.018052614869337565,3.105746486687618,3.1461339170901885,0.13264347422387587
-0.1,0.08,"lambda=-0.1, gamma=0.08",center_y_std,30,3.115530576045439,0.051433328961914285,0.01650869015934965,3.0971253956518234,3.1339357564390546,0.11899535076966501
-0.1,0.08,"lambda=-0.1, gamma=0.08",xy_corr,30,-0.007901021263297501,0.030127814078214254,3.8131544105781043,-0.01868212107088448,0.002880078544289476,1.095573511306528
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_4,30,0.01326530612244898,0.009436278841301467,0.7113502511134951,0.009888577105993158,0.016642035138904804,0.9966641218045283
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_5,30,0.2920068027210884,0.02311730418196248,0.07916700558528794,0.2837343816612311,0.30027922378094574,0.6282931287242142
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_6,30,0.4379251700680272,0.024745154903855926,0.05650544110084382,0.42907023010855694,0.4467801100274975,0.3702797960918767
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_7,30,0.19693877551020406,0.025372605683863923,0.12883499259164066,0.18785930517272317,0.20601824584768494,1.0141282578789594
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_8,30,0.05136054421768708,0.013725136174365566,0.2672311281631441,0.04644906731516736,0.056272021120206794,0.7863404989732166
0.0,0.05,"lambda=0, gamma=0.05",area_mean,30,0.7315717897959183,0.016608857791698517,0.02270297737469043,0.725628386365538,0.7375151932262987,0.10783708183652624
0.0,0.05,"lambda=0, gamma=0.05",area_std,30,0.2966728132845625,0.017532184893527876,0.05909602804322808,0.29039900149418535,0.3029466250749397,0.3838040070258902
0.0,0.05,"lambda=0, gamma=0.05",area_cv,30,0.4053156611715929,0.017705159494406212,0.04368239668614883,0.3989799512152417,0.4116513711279441,0.3816091006164545
