lambda_cc,gamma,grupo,sim_id_1,replica_1,sim_id_2,replica_2,distancia
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,5.207414685403602
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,2.7129544071472282
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,2.441750508471599
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,4.720398007205022
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,4.359105644757738
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,2.7471772856190158
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,2.862576826315783
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,4.565374283533862
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.783727739605745
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,4.786421089680559
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.4444002429814238
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,5.207414685403602
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,3.9505997089338805
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,2.5214672099143542
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,3.4120403082816244
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,3.7044222397453477
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,4.802552489884523
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,4.178636432933425
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,2.3034883098934427
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,3.3764439462382145
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,5.335881556641868
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,4.209376732743146
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,3.624115852782831
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,3.4630313267295563
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,3.992459244032856
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,5.268184392809707
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,4.409985055772455
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,4.265779497307493
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,6.184528195096951
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,4.842631926712344
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,4.051499377636961
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,3.702086937831542
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,6.1131431960402525
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,5.294265195399269
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,6.186377148429169
