sim_id,replica,lambda_cc,gamma,grupo_real,grupo_predicho,distancia_minima,acierto
sim__lam_0__gam_0p08__rep_004__20260531_151304_290305,4,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.268136784588272,True
sim__lam_0__gam_0p08__rep_005__20260531_151315_832128,5,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.9422770186046985,True
sim__lam_0__gam_0p08__rep_006__20260531_151327_734806,6,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.229007429599894,True
sim__lam_0__gam_0p08__rep_007__20260531_151339_927903,7,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",4.679312804876312,True
sim__lam_0__gam_0p08__rep_008__20260531_151353_845845,8,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.0670918270665566,True
sim__lam_0__gam_0p08__rep_009__20260531_151407_323285,9,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.273789140619176,True
sim__lam_0__gam_0p08__rep_010__20260531_151418_925213,10,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",3.510616998276989,True
sim__lam_0__gam_0p08__rep_011__20260531_151431_673545,11,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",4.187400191221655,True
sim__lam_0__gam_0p08__rep_012__20260531_151444_761881,12,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.8581800681629814,True
sim__lam_0__gam_0p08__rep_013__20260531_151456_168776,13,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.6979135647446357,True
sim__lam_0__gam_0p08__rep_014__20260531_151507_836828,14,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.11216628354675,True
sim__lam_0__gam_0p08__rep_015__20260531_151520_191782,15,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.85355227107005,True
sim__lam_0__gam_0p08__rep_016__20260531_151533_343928,16,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",4.230167600370779,True
sim__lam_0__gam_0p08__rep_017__20260531_151544_776165,17,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.6248767887471918,True
sim__lam_0__gam_0p08__rep_018__20260531_151556_334086,18,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.7853804741400454,True
sim__lam_0__gam_0p08__rep_019__20260531_151608_526710,19,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.7333788678792494,True
sim__lam_0__gam_0p08__rep_020__20260531_151620_259124,20,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",3.1611807844632986,True
sim__lam_0__gam_0p08__rep_021__20260531_151632_293469,21,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.5308598087308773,True
sim__lam_0__gam_0p08__rep_022__20260531_151645_041367,22,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.8732679479242778,True
sim__lam_0__gam_0p08__rep_023__20260531_151656_729203,23,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.5173077269040918,True
sim__lam_0__gam_0p08__rep_024__20260531_151708_879373,24,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",3.1682257422773556,True
sim__lam_0__gam_0p08__rep_025__20260531_151721_618459,25,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.7353245231839052,True
sim__lam_0__gam_0p08__rep_026__20260531_151733_988523,26,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.8637609465025993,True
sim__lam_0__gam_0p08__rep_027__20260531_151747_372039,27,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.0670918270665566,True
sim__lam_0__gam_0p08__rep_028__20260531_151800_250315,28,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.1349467169959304,True
sim__lam_0__gam_0p08__rep_029__20260531_151811_962071,29,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",2.261852805664524,True
