sim_id,replica,init_id,grupo,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,3.3135714486125787,-3.320873745559929,2.504490871046356,2.9551503178539207,-0.8473735093110983,-0.42033717100361445,-0.4077758501670863,0.12032261052639301,-0.7543739918684551,-0.007680214333867874
sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.107745869166114,-1.9538694307286546,-1.9187817409876295,-1.5733214724346818,-0.5589896198349578,0.04318665656231525,0.6423739225115547,0.34483383302455867,-0.3348868062204763,-0.10801866483028941
sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,6.118635364936314,-0.6855423659547806,2.0906238275607705,-0.6475745977362533,0.0946224943908157,1.3852472597607295,-0.18319858708554226,0.25305766416749115,0.0756875742592569,0.26139763760432533
sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,3.676479522460673,-2.431452841421753,1.567943538046792,1.9926367657693966,-0.6008566607905785,-2.116917516782144,-1.904566652131265,0.0683283775324966,-0.6373746144567622,-0.8338319407272637
sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.426849573584645,-2.6816398092547944,0.6035356775360624,-0.15467350639336827,-0.22078328181539827,-0.2348524617448937,-1.4645843771998108,-0.5767072955529184,0.3502164500097509,-0.24638273528725113
sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.12911146129399237,1.6822411548012013,-0.36217677068131887,1.0272025490955474,-1.9300761180513109,1.4672459787253649,-0.7341986210465925,0.542932246425329,0.08307013628935091,-0.58973843096454
sim__lam_m0p1__gam_0p08__rep_001__20260531_145527_036433,1,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.3378641339801213,0.7475221320831353,0.9454291753587025,-0.4783856904629106,1.5441140663909696,1.4083324493809297,0.019400955611578705,0.06012926988824868,0.8102329157403154,0.2726978269069276
sim__lam_m0p1__gam_0p08__rep_002__20260531_145543_733987,2,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.30434131895490973,2.4789830131919937,-1.7663102408733904,2.445398866875883,-0.16988277463326587,0.10325861543789773,0.07183342427661346,-0.0972199087866747,0.2850196659299926,0.21608427868575364
sim__lam_m0p1__gam_0p08__rep_003__20260531_145600_741740,3,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.8174082935619064,1.2883023790099695,0.9678365946077047,0.14457607402301348,-1.1210064422687074,-0.5489992175111558,-1.19263413099058,0.8418684691228768,-0.32732968384204864,0.6840369913591245
sim__lam_m0p1__gam_0p08__rep_004__20260531_145617_076186,4,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.20609433249165354,1.8546547147283658,1.3045202839132681,-1.0131117901548643,-1.1422114648109207,0.9702305923553294,-1.0433090704188441,-0.9979062867133263,-0.08100758137278367,0.1430636460164003
